park_id,split_slugger,split_contact,diff,se,z,name
NYC15,0.00082241073302126,-0.0031397896174068973,0.003962200350428158,0.006701607341470455,0.591231349218198,Ebbets Field
NYC16,0.02017765277155146,-0.0024741908386935133,0.02265184361024497,0.00438966690704792,5.16026479682908,Yankee Stadium I
NYC17,0.010935057954288313,0.006385349702640229,0.004549708251648084,0.00579900038838651,0.7845676749323302,Shea Stadium
NYC21,0.006679621181648976,0.002145543976281895,0.004534077205367082,0.009677438080856414,0.46852040462405464,Yankee Stadium II
OAK01,-0.0007274699855434295,-0.0011139849287010953,0.0003865149431576658,0.005211221977104802,0.07416973309826305,Oakland-Alameda County Coliseum
PHI09,0.008924044188692602,0.00295347660006433,0.005970567588628272,0.009043583305333678,0.6601993244322726,Baker Bowl
PHI11,-0.010507945093879147,0.0021735381600929008,-0.012681483253972049,0.004929258130158454,-2.5726961175726446,Shibe Park
PHI12,-0.015785711444478552,0.0036578218284743684,-0.01944353327295292,0.008003539169164077,-2.4293669165592005,Veterans Stadium
PHI13,-0.0009569239065944247,-0.000770909542259543,-0.00018601436433488168,0.009384808882980137,-0.019820794078420592,Citizens Bank Park
PHO01,-0.009929568442377626,0.003774233776126971,-0.013703802218504597,0.008303620087266995,-1.6503407037514148,Chase Field
PIT06,-0.010885790212739364,0.005023383783317587,-0.01590917399605695,0.0058634198121882185,-2.713292669746544,Forbes Field
PIT07,0.004929158719345497,-0.005198716075978775,0.010127874795324272,0.007834779737155904,1.29268149649358,Three Rivers Stadium
PIT08,0.005863865088492793,0.008545271046379194,-0.002681405957886401,0.009099502296335264,-0.29467611200739086,PNC Park
SAN01,0.004029307854869734,-0.0011622222195575675,0.005191530074427302,0.0070759699813530775,0.733684581493175,Qualcomm Stadium
SAN02,-0.01033576300311366,-0.008459681460253414,-0.0018760815428602463,0.009954245142393552,-0.18847049836760724,PETCO Park
SEA02,0.008129692085417077,0.0015258906232185985,0.0066038014621984786,0.00787485515777343,0.8385933874199237,Kingdome
SEA03,0.008204757351045356,0.0015565702854872555,0.0066481870655581005,0.007748314726053158,0.858017168972763,Safeco Field
SFO02,-0.001650862804015116,-0.005928066644164679,0.004277203840149563,0.006795345903958402,0.6294313638483099,Candlestick Park
SFO03,0.005398821818464919,-0.008384756359347325,0.013783578177812244,0.008582383995602707,1.606031399302855,AT&T Park
STL07,0.013083850056714981,0.007191920767358362,0.005891929289356619,0.004714816894739737,1.2496623773301083,Sportsman's Park III
STL09,-0.003411607604218888,-0.002407993423009468,-0.0010036141812094202,0.00682175905430958,-0.14711955863867643,Busch Stadium II
STL10,0.004921282883705351,0.0011371137289929725,0.0037841691547123787,0.009383485166380141,0.4032797076581509,Busch Stadium III
STP01,0.006983915156148447,-0.01318156136217279,0.020165476518321235,0.008260506401007534,2.441191319198258,Tropicana Field
TOR02,0.0009403603696857207,0.0004950756971705862,0.0004452846725151345,0.00663322991232847,0.06712938921166171,Rogers Centre
WAS09,0.002199682931980484,0.002945866633468098,-0.0007461837014876142,0.006297497279761669,-0.11848892795644904,Griffith Stadium
