park_id,season,effect,n_pa,component,n_components
DET04,1927,0.014915863433871539,5336,0,2
NYC16,1927,0.0028767908537475862,5009,0,2
WAS09,1927,-0.010761598512981066,4726,0,2
BOS08,1927,-0.014045588881828481,5150,1,2
CHI11,1927,0.002925901447462677,5516,1,2
CIN07,1927,-0.011439487631343047,5357,1,2
NYC14,1927,0.003716083167300783,4785,1,2
NYC15,1927,-0.014645346902793038,5057,1,2
PHI09,1927,0.012797842280984666,4459,1,2
PHI11,1927,0.0028907642476004415,5929,1,2
PIT06,1927,-0.005481254487082755,5389,1,2
STL07,1927,0.012035285046257943,10726,1,2
BOS08,1928,0.0061468358925006504,4914,0,2
CHI11,1928,-0.013253285861709806,4914,0,2
CIN07,1928,-0.006036461290922826,5429,0,2
NYC14,1928,-0.0037259932723847835,5118,0,2
NYC15,1928,-0.016841078917913196,5033,0,2
PHI09,1928,0.022806448200018783,4567,0,2
PIT06,1928,0.013269012867746786,5077,0,2
BOS07,1928,-0.009290309554645075,4338,1,2
CHI10,1928,0.002743818931279827,3993,1,2
CLE06,1928,0.011997771183874337,4734,1,2
DET04,1928,-0.011022096824703313,4648,1,2
NYC16,1928,-0.009626870476246406,4892,1,2
PHI11,1928,0.00309397636815267,4564,1,2
STL07,1928,0.004831003732451684,10121,1,2
WAS09,1928,0.0014575597406074946,5391,1,2
BOS07,1929,0.0006202322252743062,3586,0,2
BOS08,1929,-0.005032494663699538,6179,0,2
CHI10,1929,-0.010602018808247257,5001,0,2
CLE06,1929,-0.0014157538538500298,4777,0,2
DET04,1929,0.014632647359147342,4649,0,2
NYC16,1929,-0.0071168137362099745,4724,0,2
PHI11,1929,0.012710923664522743,5050,0,2
WAS09,1929,-0.001998016479422843,4976,0,2
CHI11,1929,0.011764484850866066,5353,1,2
CIN07,1929,-0.01465840677482894,5135,1,2
NYC14,1929,-0.012816631956233872,5488,1,2
NYC15,1929,-0.002215186545883806,4545,1,2
PHI09,1929,0.024971086448546106,5121,1,2
PIT06,1929,0.0013363334801067693,4658,1,2
STL07,1929,-0.004242263002810539,9759,1,2
BOS08,1930,-0.018758960547913386,6182,0,2
CHI11,1930,0.018215861131107666,5632,0,2
CIN07,1930,-0.01500645816717942,5271,0,2
NYC14,1930,-0.004616497311825572,5400,0,2
NYC15,1930,0.0008117316217729528,4898,0,2
PHI09,1930,0.02635128116058141,5384,0,2
PIT06,1930,-0.0055484432518336756,5127,0,2
BOS07,1930,-0.018540521628743267,3521,1,2
CHI10,1930,0.0006562270486470316,4605,1,2
CLE06,1930,0.01076970732550819,5046,1,2
DET04,1930,0.0005246924973609137,4840,1,2
NYC16,1930,-0.0165775067474032,4648,1,2
PHI11,1930,0.00659752893573277,4971,1,2
STL07,1930,0.009367260109694263,10259,1,2
WAS09,1930,-0.00921964091248148,5040,1,2
BOS07,1931,-0.0020123245222351807,4192,0,2
BOS08,1931,-0.020697477498591254,5667,0,2
CHI10,1931,-0.0037285750439892225,4811,0,2
CLE06,1931,0.015610303019606546,5580,0,2
DET04,1931,0.00381536239453603,5259,0,2
NYC16,1931,-0.003172777070585879,5606,0,2
PHI11,1931,0.01046356199818848,4852,0,2
WAS09,1931,0.0006317834343792651,5561,0,2
CHI11,1931,-0.0039882446467856235,4916,1,2
CIN07,1931,-0.003117656817199447,5188,1,2
NYC14,1931,-0.020036484852478657,4837,1,2
NYC15,1931,-0.002011886265859723,4918,1,2
PHI09,1931,0.005539745596856957,4682,1,2
PIT06,1931,-0.01216283548129082,5385,1,2
STL07,1931,0.01846627416062784,9864,1,2
BOS07,1932,-0.006870041382414344,4755,0,2
CHI10,1932,-0.017349512614949658,4966,0,2
CLE06,1932,0.017333337678454575,3495,0,2
CLE07,1932,-0.02759790760339974,2098,0,2
DET04,1932,-0.007239534607250436,4855,0,2
NYC16,1932,-0.006486662663242872,4897,0,2
PHI11,1932,0.03200625242568796,5052,0,2
STL07,1932,0.00017578781297514397,10230,0,2
WAS09,1932,0.0036257139332364764,5396,0,2
BOS08,1932,-0.021828268978088407,5510,1,2
CHI11,1932,-0.0006365510334880287,5100,1,2
CIN07,1932,-0.023571896873340825,5454,1,2
NYC14,1932,0.00628503555961238,5368,1,2
NYC15,1932,0.0031010188741141774,5361,1,2
PHI09,1932,0.03426823644481859,5338,1,2
PIT06,1932,0.003867246641294214,4860,1,2
BOS07,1933,0.0003587905021503882,5272,0,2
CHI10,1933,0.003116404837078409,5804,0,2
CLE07,1933,-0.009808732891872634,5148,0,2
DET04,1933,0.0038247238103120106,5099,0,2
NYC16,1933,-0.00737548246906104,4879,0,2
PHI11,1933,0.019707705376698807,4865,0,2
WAS09,1933,-0.009239900694565492,5290,0,2
BOS08,1933,-0.025593848664861363,5342,1,2
CHI11,1933,7.68717166971676e-05,5419,1,2
CIN07,1933,-0.022149283994763538,5388,1,2
NYC14,1933,-0.016175685710765584,5270,1,2
NYC15,1933,-0.005742602204273018,5340,1,2
PHI09,1933,0.03321046483000956,5156,1,2
PIT06,1933,-0.0012804106534059902,5488,1,2
STL07,1933,0.01879543241185721,11032,1,2
BOS07,1934,0.0010112813484714285,4763,0,2
CHI10,1934,-0.0006807052955048643,4431,0,2
CLE06,1934,0.0024212263935821893,5097,0,2
DET04,1934,-0.001103937547824041,5448,0,2
NYC16,1934,-0.019656354604259428,4536,0,2
PHI11,1934,-0.004726905019042315,4301,0,2
STL07,1934,0.012574369886888535,9424,0,2
WAS09,1934,-0.0034055019690274486,5032,0,2
BOS08,1934,-0.025589891269275463,5096,1,2
CHI11,1934,-0.00922951210484383,4403,1,2
