park_id,pos,season,n_first,outs,exp_outs,chances,errors,exp_errors,park_bip,park_first,conv_eff,conv_se,conv_z,coverage,err_eff,err_se,err_z,name
MIN03,7,55874,127200.0,9095.0,9586.773456595947,8744.0,164.0,154.71064652796105,128493.0,93038.0,-0.004228997449382502,0.0009972402847170654,-4.240700575571255,0.08047604592766419,0.0010623688783210148,0.0014224923895770217,0.7468362474943787,Hubert H. Humphrey Metrodome
MIN03,8,55874,127869.0,12081.0,12298.980163756009,12094.0,141.0,149.92791069044543,128493.0,93038.0,-0.0009626178887796322,0.0011111280306855694,-0.8663429075636712,0.08047604592766419,-0.0007382099132169199,0.0010124446276244534,-0.7291360861373887,Hubert H. Humphrey Metrodome
MIN03,9,55874,127644.0,9352.0,9531.157557125995,9053.0,147.0,170.99782738674634,128493.0,93038.0,-0.00085657970771158,0.0009946728646011735,-0.86116726231899,0.08047604592766419,-0.0026508149107197987,0.0014444508735683367,-1.8351713853523375,Hubert H. Humphrey Metrodome
MIN04,1,32280,62897.0,1156.0,1238.357533188276,2004.0,97.0,76.34233847376588,64988.0,46922.0,-0.0015270478145464166,0.0007425802183368896,-2.0564078827287506,0.08039316605410783,0.010308214334448165,0.004359985171737125,2.364277383618055,Target Field
MIN04,2,32280,64943.0,684.0,708.388546159807,20807.0,122.0,147.26161803100905,64988.0,46922.0,-0.00038535395651759403,0.0005648821257229331,-0.6821847230949645,0.08039316605410783,-0.0012140922781279883,0.0005832239055460822,-2.081691553763067,Target Field
MIN04,3,32280,64593.0,19528.0,19764.421096830414,21082.0,123.0,126.01611040851385,64988.0,46922.0,-0.001212139608235352,0.0022882240277979243,-0.5297294292472998,0.08039316605410783,-0.00014306566779783005,0.0005324774571680039,-0.2686792950047665,Target Field
MIN04,4,32280,64323.0,3931.0,4070.3396816478175,10440.0,171.0,162.3317175172643,64988.0,46922.0,-0.002197135322048377,0.0013039343090173313,-1.6850046101664264,0.08039316605410783,0.0008302952569670202,0.00122039717358298,0.6803483938997872,Target Field
MIN04,5,32280,64579.0,1742.0,1719.1505483258193,5968.0,242.0,236.0192386448126,64988.0,46922.0,0.0008272540682051771,0.0008703271202505436,0.9505093532728626,0.08039316605410783,0.0010021382967807324,0.00257421542351387,0.38929853641106227,Target Field
MIN04,6,32280,64554.0,3152.0,3149.48450365042,9688.0,255.0,286.8734443716127,64988.0,46922.0,0.0006702613851821693,0.0011592348430608343,0.57819292544073,0.08039316605410783,-0.0032899921936016432,0.0017482802191340005,-1.8818448882475602,Target Field
MIN04,7,32280,64568.0,5085.0,4740.987331811339,4105.0,61.0,62.25426978218293,64988.0,46922.0,0.008318260071774802,0.0013962195247874418,5.95770215506846,0.08039316605410783,-0.0003055468409702633,0.001922079780960133,-0.15896678379168735,Target Field
MIN04,8,32280,64550.0,6514.0,6505.769328921031,6305.0,63.0,62.8045194072821,64988.0,46922.0,0.0014497255495889982,0.0016010315818830278,0.9054946610634168,0.08039316605410783,3.100405911465496e-05,0.0012569278741013869,0.02466653795614218,Target Field
MIN04,9,32280,63985.0,4755.0,5077.913045065965,4393.0,73.0,61.60019662623659,64988.0,46922.0,-0.005943824373403364,0.0014392050448171355,-4.1299357550255,0.08039316605410783,0.00259499280076563,0.0017866103515548812,1.4524671249705994,Target Field
MON01,1,15780,36215.0,736.0,663.9420928884778,2356.0,91.0,109.94990646114732,36340.0,27071.0,0.002323906805681373,0.0009500747062823856,2.4460253391806965,0.08280853232784428,-0.008043254015767115,0.004450636712220784,-1.8072142337930075,Parc Jarry
MON01,2,15780,36302.0,628.0,666.5095336656627,8263.0,101.0,120.55013971110819,36340.0,27071.0,-0.0017772363650706176,0.000951862757621485,-1.8671140884969346,0.08280853232784428,-0.002365985684510249,0.0013287586547003072,-1.7805985128607735,Parc Jarry
MON01,3,15780,36265.0,12106.0,11412.282383655483,13237.0,113.0,114.97401927123636,36340.0,27071.0,0.019741597443202363,0.0030139247575529655,6.550129492692032,0.08280853232784428,-0.00014912890165720013,0.0008100471306650976,-0.18409904314426284,Parc Jarry
MON01,4,15780,36068.0,2951.0,2785.3671210888347,7123.0,182.0,181.60381514241814,36340.0,27071.0,0.004681790663269514,0.0018646559295156706,2.5108067333824806,0.08280853232784428,5.5620505065542306e-05,0.0018919059351144374,0.029399191594680386,Parc Jarry
MON01,5,15780,36197.0,850.0,982.8633482968462,3689.0,186.0,198.49339091851647,36340.0,27071.0,-0.00544164015059212,0.001148819546647988,-4.736723157670561,0.08280853232784428,-0.0033866605905439055,0.003819129372222201,-0.8867624687386123,Parc Jarry
MON01,6,15780,36320.0,2105.0,2039.5587909526691,6799.0,267.0,219.60631773332676,36340.0,27071.0,0.0013576010325001553,0.0016204052457728893,0.8378157476604665,0.08280853232784428,0.006970684257489813,0.0021796028835655568,3.1981441711467404,Parc Jarry
MON01,7,15780,35880.0,2209.0,2311.658739424927,1985.0,62.0,52.82042366051811,36340.0,27071.0,-0.005018087162492801,0.0017155269749430768,-2.925099538384879,0.08280853232784428,0.004624471707547552,0.00366134310873777,1.2630533577995686,Parc Jarry
MON01,8,15780,36226.0,3072.0,3294.825453288269,2949.0,68.0,46.81593413441008,36340.0,27071.0,-0.009989100054960898,0.002006210749996104,-4.9790880918070535,0.08280853232784428,0.007183474352522863,0.0023201821119635023,3.096082120227924,Parc Jarry
MON01,9,15780,36206.0,2312.0,2436.1130775052216,2400.0,71.0,57.05958367632518,36340.0,27071.0,-0.005878832211536997,0.0017565825516696904,-3.346744054783517,0.08280853232784428,0.005808506801531174,0.0031474080958122084,1.8454889307998212,Parc Jarry
MON02,1,55734,118749.0,2315.0,2337.0817176727446,7016.0,289.0,298.0892105092775,119974.0,88446.0,-0.00042376750010190284,0.0005438945187259851,-0.7791354490840118,0.08186967968529701,-0.0012954975070235898,0.002460840966548193,-0.5264450342927997,Stade Olympique
MON02,2,55734,119652.0,1799.0,1679.910643968365,29413.0,358.0,331.61564687427125,119974.0,88446.0,0.0012295384738072283,0.0004629050531630716,2.656135346559045,0.08186967968529701,0.0008970303310008755,0.0006191247762845918,1.448868411282154,Stade Olympique
MON02,3,55734,119130.0,38680.0,37403.13409719185,42109.0,315.0,334.2834562283752,119974.0,88446.0,0.011749587268162276,0.0016681667407437623,7.04341297616547,0.08186967968529701,-0.00045794144312083404,0.0004341926964592656,-1.054696329199532,Stade Olympique
MON02,4,55734,119743.0,8713.0,8578.726881850911,22056.0,396.0,412.65073961676575,119974.0,88446.0,0.0008921699099203456,0.0010030936211342194,0.889418386403006,0.08186967968529701,-0.0007549301603539058,0.0009210104563594717,-0.8196759929718491,Stade Olympique
MON02,5,55734,119483.0,3037.0,3038.7166138267403,12274.0,576.0,627.9521856575814,119974.0,88446.0,-0.00024413764282751188,0.0006176242790866605,-0.39528504803687664,0.08186967968529701,-0.004232702106695565,0.002041630613828785,-2.073196825138579,Stade Olympique
MON02,6,55734,119694.0,5958.0,6170.873693231419,20101.0,605.0,684.2640995018841,119974.0,88446.0,-0.00287594528866289,0.0008636489502500087,-3.329993381952659,0.08186967968529701,-0.003943291353757727,0.0013013502921439516,-3.0301536623634395,Stade Olympique
MON02,7,55734,119518.0,8093.0,8490.244192605982,7753.0,180.0,162.22729990251847,119974.0,88446.0,-0.005143181236653402,0.0009984670890979526,-5.15107737932546,0.08186967968529701,0.00229236425867168,0.0016428283393420753,1.3953766219967527,Stade Olympique
MON02,8,55734,119149.0,11036.0,11116.453009430152,11262.0,172.0,163.27871634939572,119974.0,88446.0,-0.0017362671800311424,0.0011233296295616374,-1.5456435353785645,0.08186967968529701,0.0007743991875869542,0.0011346169461336315,0.6825203785522765,Stade Olympique
MON02,9,55734,119419.0,8341.0,8588.476625746272,8093.0,190.0,185.4767754340227,119974.0,88446.0,-0.0034479968036130737,0.001003601395631287,-3.4356237632015336,0.08186967968529701,0.000558905790927629,0.0016828105578337918,0.33212638720729437,Stade Olympique
NWK04,1,21372,7276.0,2.0,5.885734524961062,3.0,2.0,0.233009708737864,7984.0,209.0,0.001428644636070557,0.006625415508292338,0.21563094937705754,0.002920811896748558,0.5889967637540453,0.3333333333333333,1.766990291262136,
NWK04,2,21372,7903.0,7.0,28.348708278595176,22.0,8.0,2.212844612903246,7984.0,209.0,-0.006484516040969265,0.014294232221698957,-0.45364563415484666,0.002920811896748558,0.263052517595307,0.06761651426882496,3.89035904083256,
NWK04,3,21372,7643.0,81.0,245.5936560165139,83.0,26.0,8.189474155337411,7984.0,209.0,0.047156777768882996,0.03428063636161631,1.3756097544818036,0.002920811896748558,0.21458464873087457,0.0344786232563662,6.22370119407982,
NWK04,4,21372,7615.0,53.0,97.30394963556883,33.0,11.0,5.936821320494371,7984.0,209.0,0.124814860555308,0.02503003982838547,4.986602554813395,0.002920811896748558,0.15342965695471603,0.07383513091291838,2.0780034525254916,
NWK04,5,21372,7211.0,4.0,29.745687363857968,6.0,5.0,1.4731927710843373,7984.0,209.0,-0.023783498296308256,0.014626363303707044,-1.6260705277490504,0.002920811896748558,0.5878012048192771,0.2022919212895299,2.9057077567521237,
NWK04,6,21372,7665.0,18.0,83.1807003181846,55.0,20.0,10.020046740105213,7984.0,209.0,-0.03191710444603531,0.02342368698059019,-1.3625995118737328,0.002920811896748558,0.18145369563445066,0.05755355892982924,3.1527797586884874,
NWK04,7,21372,7191.0,7.0,76.83589310886514,3.0,3.0,0.0665945165945165,7984.0,209.0,-0.07835060603131105,0.02263303887403025,-3.461780208455022,0.002920811896748558,0.9778018278018279,0.3333333333333333,2.9334054834054837,
NWK04,8,21372,7532.0,15.0,74.63650011012508,2.0,0.0,0.0671834625322997,7984.0,209.0,-0.03448160194617744,0.022347750362958902,-1.5429562880445558,0.002920811896748558,-0.03359173126614985,0.5,-0.0671834625322997,
NWK04,9,21372,7411.0,10.0,33.157119254227204,1.0,1.0,0.0101010101010101,7984.0,209.0,0.0016170438005397789,0.015401431747918649,0.1049930829163533,0.002920811896748558,0.98989898989899,1.0,0.98989898989899,
NYC12,1,5733,13235.0,130.0,102.36221107396037,895.0,35.0,41.06111424083334,13572.0,9507.0,0.001659884167326502,0.0011283430037078706,1.4710811888511945,0.07858054505868516,-0.006772194682495352,0.007159658861282093,-0.9458823127897805,Washington Park III
NYC12,2,5733,13520.0,521.0,456.9895420077164,3188.0,94.0,101.11713335995346,13572.0,9507.0,0.001107189512869089,0.0023327938542176234,0.4746195257962132,0.07858054505868516,-0.0022324759598348356,0.0031542351113387373,-0.7077709432025554,Washington Park III
NYC12,3,5733,13562.0,4188.0,3790.7855426080005,4465.0,48.0,59.35056053659578,13572.0,9507.0,-0.0050153331540812585,0.005125391322599503,-0.9785268750050435,0.07858054505868516,-0.002542118821186065,0.0017254045909732812,-1.4733465034726054,Washington Park III
NYC12,4,5733,13240.0,854.0,747.6606397498838,2201.0,92.0,94.85743856480079,13572.0,9507.0,0.0019828304055029555,0.0029289539866235205,0.6769756078649599,0.07858054505868516,-0.0012982455996368868,0.004425024239791226,-0.29338722892468005,Washington Park III
NYC12,5,5733,13295.0,513.0,434.03704902638447,1275.0,88.0,81.06080565046979,13572.0,9507.0,0.0029801839864784796,0.0022767258579420332,1.308977967673417,0.07858054505868516,0.005442505372180558,0.007061472516045644,0.7707323592655302,Washington Park III
NYC12,6,5733,13312.0,615.0,600.220230280665,2224.0,183.0,188.04344670527166,13572.0,9507.0,-0.005901736372350572,0.0026493715533843247,-2.227598603454338,0.07858054505868516,-0.00226773682790992,0.006165869355935918,-0.36778865996029525,Washington Park III
NYC12,7,5733,13424.0,966.0,814.5534734603528,975.0,43.0,42.78024408881788,13572.0,9507.0,0.005938687147831093,0.003043836983226223,1.9510529573553446,0.07858054505868516,0.0002253906781355069,0.006708370081715833,0.03359842635244978,Washington Park III
