park_id,start,end,n_seasons,woba_eff_pts,exp_run_eff_pts,run_eff_pts,conv_pts,se_pts,name
LOS03,2004,2025,22,-10.587880111371593,-8.663334766283297,-8.099718876865598,0.5636158894176991,2.837892451320909,Dodger Stadium
MIA01,1993,2011,19,-5.781794281001094,-4.871628171631844,-4.470495710653807,0.40113246097803806,3.3505899606610043,Sun Life Stadium
MIA02,2012,2025,14,-10.379986867506405,-8.495572627943144,-3.8837475958771646,4.611825032065978,4.895448662478755,Marlins Park
MIL05,1953,1961,9,-22.41842726319805,-17.656329269514316,-22.665926374454425,-5.009597104940109,3.850032511547987,County Stadium
MIL05,1962,2000,35,-2.678848527257798,-2.071373409797561,-1.0090865421280133,1.0622868676695476,2.2791375395641538,County Stadium
MIL06,2001,2025,25,-0.9082923695591477,-0.826335073804243,1.1663621053586684,1.9926971791629113,2.162842111933166,Miller Park
MIN02,1961,1981,21,8.05542968071163,6.063579480861244,8.472570102990545,2.4089906221293016,2.4602557818500603,Metropolitan Stadium
MIN03,1982,1996,15,12.15581225790417,9.53440327371624,9.193854979940346,-0.3405482937758938,2.816826128093605,Hubert H. Humphrey Metrodome
MIN03,1997,2009,13,-2.3523561124096237,-1.9688816110534972,1.9534311115510563,3.9223127226045533,3.541717082265364,Hubert H. Humphrey Metrodome
MIN04,2010,2025,16,7.724014354960368,6.2556470898537375,1.5337708496128648,-4.721876240240873,2.554954805724598,Target Field
MON02,1977,2004,28,-5.000309189297456,-4.035377695451831,0.8686514189734509,4.904029114425281,3.148003782543099,Stade Olympique
NYC14,1912,1937,26,-4.332570018496943,-3.4367915072689534,-6.214690575931014,-2.77789906866206,2.0353653442682775,Polo Grounds V
NYC14,1938,1963,22,4.275097603521165,3.113533965664897,3.2347192340860254,0.12118526842112842,2.1777410073238714,Polo Grounds V
NYC15,1913,1957,45,0.5523973022159356,0.34921662337591985,2.225348995895595,1.8761323725196757,2.1267333362614123,Ebbets Field
NYC16,1923,2008,84,-1.758146876890993,-1.3272742117414833,-8.53250814345849,-7.2052339317170055,1.423794682053327,Yankee Stadium I
NYC17,1964,2008,45,-11.22936933763976,-8.877947335815522,-6.884679959306271,1.9932673765092508,1.552739238282572,Shea Stadium
NYC20,2009,2025,17,-11.457952194296483,-9.273907146177708,-12.235796469847791,-2.9618893236700825,2.54649764506014,Citi Field
NYC21,2009,2025,17,5.732694050694615,4.58057369581549,1.560396042857006,-3.0201776529584836,3.252899527891415,Yankee Stadium II
OAK01,1968,2024,57,-10.9629945756274,-8.681447844126623,-10.256791428687661,-1.5753435845610384,1.6626247112850607,Oakland-Alameda County Coliseum
PHI09,1910,1921,12,12.770229710205815,9.156521683317427,12.886430665007317,3.72990898168989,4.689496848563489,Baker Bowl
PHI09,1922,1938,16,37.82987710218294,31.050796588723678,38.30356962699932,7.2527730382756435,4.40724018842955,Baker Bowl
PHI11,1910,1970,61,2.411073997090548,1.8609499996199381,1.0227398862761432,-0.8382101133437949,1.7721309453509613,Shibe Park
PHI12,1971,2003,33,5.258464240496189,3.879254222852355,3.756279290439979,-0.12297493241237613,2.4974529962262335,Veterans Stadium
PHI13,2004,2025,22,2.4695890929771673,2.1389004797405713,2.9237715851897583,0.7848711054491866,2.4719980776489656,Citizens Bank Park
PHO01,1998,2025,28,5.726736099878326,4.625403493621922,10.458553657778062,5.83315016415614,2.4249641980844703,Chase Field
PIT06,1910,1970,61,0.8174777554283826,0.7252946791834017,2.4487183103174277,1.723423631134026,1.7607735924068735,Forbes Field
PIT07,1970,2000,30,1.4383075522614757,1.0903405196924565,0.7665992987125707,-0.3237412209798859,2.1937464057758227,Three Rivers Stadium
PIT08,2001,2025,25,-4.726945483595196,-3.83664866194608,-2.0176589449457403,1.8189897170003397,2.2981617008862028,PNC Park
SAN01,1969,2003,35,-10.547738475787204,-8.398886021916024,-10.629022501757246,-2.230136479841223,2.2463573102209606,Qualcomm Stadium
SAN02,2004,2025,22,-19.424155569568867,-15.911930065818778,-15.937325175732122,-0.02539510991334329,2.765837290290027,PETCO Park
SEA02,1977,1999,22,7.681737886500416,6.1368822971500485,4.796877369882037,-1.3400049272680112,2.338890260065141,Kingdome
SEA03,1999,2025,27,-15.047581536810512,-12.300895299846488,-13.788931243951216,-1.4880359441047288,2.3689999154593964,Safeco Field
SFO02,1960,1999,40,-4.955268413505046,-3.881248877461149,-5.343434387124403,-1.4621855096632543,2.247059258388573,Candlestick Park
SFO03,2000,2025,26,-12.941740295869335,-10.630653531772815,-8.868387514155128,1.762266017617687,2.919518037277177,AT&T Park
STL05,1910,1920,9,0.6611122438188909,0.4371666545882406,-2.9601725054313217,-3.397339160019562,2.786746803606383,Robison Field
STL07,1910,1918,9,-5.148006324274982,-3.6006359123871063,-4.961875731896098,-1.361239819508992,1.5871085464442698,Sportsman's Park III
STL07,1919,1966,47,9.072628249671,7.1465032337570555,10.848246704465641,3.7017434707085854,1.728639143226701,Sportsman's Park III
STL09,1966,2005,40,-2.754559583321805,-2.131901329032286,-1.1395173255545408,0.9923840034777452,1.9644640584878417,Busch Stadium II
STL10,2006,2025,20,-6.500945439355535,-5.3365901874475545,-6.820156959811021,-1.483566772363466,2.2619740218603916,Busch Stadium III
STP01,1998,2024,27,-7.289167333072727,-5.9225395815277935,-6.9532898379416945,-1.030750256413901,2.3717998834983858,Tropicana Field
TOR01,1977,1989,12,4.123056105217041,3.1173029750738244,8.748853765576518,5.631550790502693,3.6372593845298424,Exhibition Stadium
TOR02,1989,2025,36,5.349232831590427,4.312516549412192,2.939270986726185,-1.3732455626860072,2.1867172218380677,Rogers Centre
WAS09,1911,1961,51,-8.217055030190684,-6.341489897716672,-6.556981065945798,-0.2154911682291259,1.6975958419150736,Griffith Stadium
WAS10,1962,2007,13,-6.122608637549019,-4.96080360922626,-5.4390558620798135,-0.4782522528535534,3.1244199774418666,Robert F. Kennedy Stadium
WAS11,2008,2025,18,0.2166010084966931,0.26135929826145426,0.45045891228356866,0.18909961402211437,2.7484104511999687,Nationals Park
