bat_id,meso,conv,meso_rt,pa,diff,name,hand_delta,meso_hand
benzt001,0.969081220545062,0.8445720491165958,2.557566881901306,3106,0.12450917142846618,Todd Eric Benzinger,-0.33042232461476834,0.6386588959302937
beraj101,2.5945581813105165,2.7600705303923485,3.261881935267557,3357,-0.165512349081832,John Berardino,-1.6399463945632737,0.9546117867472428
bergd001,0.1432627862632379,-1.422389584582042,-0.45718472897831297,3114,1.5656523708452799,David Bruce Bergman,-0.09573145171974567,0.04753133454349223
bergw101,-4.905576206586177,-4.272313878594564,-6.4828178666543765,5665,-0.6332623279916136,Walter Anton Berger,0.247702986650766,-4.657873219935412
berkl001,1.0783300807688134,0.317405979033396,1.5382074407876336,7814,0.7609241017354174,William Lance Berkman,0.26698590494308555,1.345315985711899
bernt001,-0.5217692936020721,0.6184926395504677,-0.5566395427833821,4243,-1.1402619331525399,Antonio (Garcia) Bernazard,-0.5033396806706991,-1.0251089742727713
berrk101,-2.813084044032095,-2.142799328249582,-3.670077945516225,4545,-0.6702847157825134,Allen Kent Berry,0.6933964577388446,-2.1196875862932507
berry101,-2.536280119968618,-3.6485645569998315,-3.3038223925529695,8359,1.1122844370312137,Lawrence Peter Berra,2.67555635184503,0.13927623187641203
bescb101,0.9213914160385753,-1.0278760274593548,-0.1383986688458179,4635,1.9492674434979302,Robert Henry Bescher,0.9109199209634272,1.8323113370020025
betay001,-3.605744834089141,-0.8388273841213059,-0.39949062357145415,4278,-2.766917449967835,Yuniesky (Perez) Betancourt,-0.5193602511302678,-4.125105085219409
bettm001,1.4440472028452218,1.4595180105379957,3.661936386096894,6936,-0.01547080769277387,Markus Lynn Betts,1.2880675094936411,2.7321147123388627
bichb001,1.4846507472706614,0.9544402637693191,0.7092177595980211,3292,0.5302104835013423,Bo Joseph Bichette,0.3935886456951964,1.8782393929658578
bichd001,14.876855577528875,10.943217920523924,14.437280112089699,6856,3.933637657004951,Alphonse Dante Bichette,1.654692948273804,16.53154852580268
bigbc101,0.4475786166893479,1.1064291904098658,1.3610544761380803,4668,-0.6588505737205179,Carson Lee Bigbee,-0.0003214250914867847,0.4472571915978611
biggc001,-2.2587131385355304,-1.4570385627542057,-1.1678900959486116,12504,-0.8016745757813246,Craig Alan Biggio,0.4314367504024459,-1.8272763881330845
biitl101,4.771474434377549,3.7309732930907136,4.423573680160313,3443,1.040501141286835,Lawrence David Biittner,-0.2976470246289884,4.47382740974856
bishm102,0.12863108036859544,1.7210208677988972,3.882064509286742,5790,-1.5923897874303017,Max Frederick Bishop,-0.8566596863501587,-0.7280286059815633
blacc001,13.708738386546022,12.032190896857575,14.676767486335097,6821,1.6765474896884474,Charles Cobb Blackmon,-2.42422523246658,11.284513154079441
blaip101,-2.4981316469943713,-1.8369494939848836,-3.0416250375401175,6672,-0.6611821530094877,Paul L.D. Blair,-0.2456548282295747,-2.743786475223946
blakc001,-2.1089554137873545,-1.927544689718983,-2.6811745427051985,5091,-0.18141072406837155,William Casey Blake,-0.8769559639006693,-2.9859113776880237
blalh001,3.750995543364202,4.055567280506137,3.2092306751160242,3928,-0.3045717371419352,Hank Joe Blalock,-0.11900388786270942,3.631991655501493
blang001,-0.8816021282538693,-2.7207688362404037,0.32688292324796964,3349,1.8391667079865344,Gregor Miguel (Pedraza) Blanco,-0.9489663519558037,-1.8305684802096729
blanh001,1.8927490414186494,1.6214033177020393,1.2734182293626528,3087,0.27134572371661014,Henry Ramon Blanco,0.2794223311704278,2.1721713725890774
blasd101,0.9845972742987155,1.349372219649878,0.28713842424663777,5937,-0.3647749453511626,Don Lee Blasingame,0.44494797981770345,1.4295452541164189
blauj001,0.7833361278899446,1.9463134605612527,-0.20606370930969578,5271,-1.162977332671308,Jeffrey Michael Blauser,0.1398350131107973,0.9231711410007418
blefc101,-2.590267860131427,-1.733154113799958,-1.0279539377378533,3490,-0.8571137463314689,Curtis Leroy Blefary,0.19007871725968636,-2.4001891428717403
blooj101,-0.6546757736572204,0.6387791949135274,-0.6018059980717663,3788,-1.2934549685707477,James Henry Bloodworth,-0.30595635516006564,-0.9606321288172861
bloow001,-2.8667484730017603,-0.5475809928799785,-0.1771717095006442,3136,-2.3191674801217816,William Paul Bloomquist,-0.1735617248205252,-3.0403101978222855
bluel101,1.0598296120754123,0.5540848446135161,-0.037202187902838635,7223,0.5057447674618961,Luzerne Atwell Blue,0.6768087412541358,1.736638353329548
blueo102,-2.5914588852748603,-2.278396868752417,-1.415863579895956,7454,-0.31306201652244336,Oswald Louis Bluege,-0.9000650936493433,-3.491523978924204
blumg001,-0.8719488614399874,-0.6480677102813538,-0.8017088541422304,4387,-0.2238811511586336,Geoffrey Edward Blum,0.08403514656981663,-0.7879137148701708
bochb001,-0.05221967385466325,-1.0645204648219546,-0.8125490083760443,5994,1.0123007909672914,Bruce Anton Bochte,0.047674316356094905,-0.004545357498568346
bodip101,-1.7737441976968518,-0.7097414466751267,-1.3949387372304416,4179,-1.0640027510217251,Frank Stephen Bodie,0.2647086481242635,-1.5090355495725882
boect101,-3.718728884413736,-2.123689501253692,-3.3651565512672406,3201,-1.595039383160044,Norman Doxie Boeckel,0.24470134638261407,-3.474027538031122
bogax001,1.9888383392127458,2.513029744775016,2.8954459563808204,7069,-0.5241914055622701,Xander Jan Bogaerts,1.3861176788751817,3.3749560180879277
boggw001,2.6311755991561174,1.8191028719093547,1.675537763330072,10740,0.8120727272467627,Wade Anthony Boggs,-1.1812878417968842,1.4498877573592333
bollf101,-1.0568812646319161,0.34622152875377793,0.5202560563056231,6190,-1.403102793385694,Francis Elmore Bolling,0.3806163913191864,-0.6762648733127297
bondb001,-0.8365451702975364,-2.2052875931930265,-0.3791090176138369,12601,1.36874242289549,Barry Lamar Bonds,-0.5168041936023045,-1.3533493638998408
bondb101,-1.3025025224692512,-0.09114086501884451,-0.4353820015399671,8090,-1.2113616574504067,Bobby Lee Bonds,0.40243901106931207,-0.9000635113999391
bonib001,-0.8267156656136403,-1.2518571581713918,-1.9208560430988038,8257,0.42514149255775147,Roberto Martin Antonio Bonilla,-0.10891265619751389,-0.9356283218111542
bonnb001,4.669339646255695,4.781439856901027,5.820363841521898,3354,-0.11210021064533215,Robert Barry Bonnell,0.07041112780947507,4.73975077406517
bonuz101,-0.559196132988233,-0.10021799391779232,0.29458306004768836,4029,-0.4589781390704407,Henry John Bonura,-0.23042702135547413,-0.7896231543437071
boona001,1.412170205085755,0.33024634797909064,2.2899320735529387,4330,1.0819238571066643,Aaron John Boone,-0.9438769749585064,0.46829323012724855
boonb001,-0.2450809475112265,0.7195850298191889,0.936307181739027,8148,-0.9646659773304154,Robert Raymond Boone,0.1766336400602547,-0.0684473074509718
boonb002,-2.0491168329332474,-1.7518249076169694,-3.596281548241104,7433,-0.297291925316278,Bret Robert Boone,-0.49080957128704833,-2.539926404220296
boonr101,-1.071967325489196,-1.2500802989762094,0.11369203247755962,5296,0.1781129734870135,Raymond Otis Boone,0.03735643621863081,-1.0346108892705652
bordm001,-3.5453341999223253,-2.6859481150334843,-2.7843003994590547,6484,-0.859386084888841,Michael Todd Bordick,-0.2645635281507968,-3.809897728073122
bordp001,0.8203081563176088,0.3766312329307526,1.1695498408065055,3499,0.44367692338685616,Patrick Lance Borders,-0.2845577651359651,0.5357503911816437
bottj101,2.3425391928563,0.5804578098554617,0.06974629371003346,8353,1.7620813830008384,James Leroy Bottomley,2.892666864684119,5.235206057540419
