pit_id,meso,conv,meso_rt,pa,diff,name
brane101,-2.874145445122645,-3.2502861511217636,-4.648266268371075,9734,0.37614070599911864,Edward Arthur Brandt
branj001,-0.534066645951671,-1.6792918051666736,-1.5889843952117675,3644,1.1452251592150027,Jeffrey Hoke Brantley
branr103,0.6818074211095796,1.059681670935544,3.3809728662776335,6336,-0.3778742498259645,Ralph Theodore Joseph Branca
braxg101,-2.2622847734493567,-1.4138584795924538,-1.5088231120788531,4062,-0.8484262938569029,Edgar Garland Braxton
braza101,2.770521656370837,1.3236985368959802,2.219320790900772,5865,1.4468231194748566,Alpha Eugene Brazle
brech101,2.691549285551849,1.4278134650352963,0.3149443949759613,7825,1.2637358205165528,Harry David Brecheen
bretk101,0.842937264496008,0.3615144921128173,2.2330270076322196,6477,0.48142277238319076,Kenneth Alven Brett
brewj102,-3.894850353983575,-3.799974648514399,-3.397621795559069,4301,-0.09487570546917601,James Thomas Brewer
brewt101,8.326237825916175,5.855633381893418,8.048433742365157,6575,2.470604444022757,Thomas Austin Brewer
bridt101,1.5556808657696772,2.2497856929991347,0.7895928955493251,12163,-0.6941048272294574,Thomas Jefferson Davis Bridges
briln101,-0.15361956072165914,-0.356068478463556,-2.084114792272519,8859,0.20244891774189686,Nelson Kelley Briles
brisl101,-1.2298229603225503,-0.6000025546889115,-2.2815528330652786,3945,-0.6298204056336388,Leland Victor Brissie
brobp101,-1.1644533516993614,-1.0378219103010937,-0.0454503083065486,4248,-0.12663144139826765,Peter Sven Broberg
brocd001,-1.0315449163032624,-0.8799511361120073,-2.228859590719103,3786,-0.15159378019125513,Douglas Keith Brocail
broge101,4.899123084256705,5.622964722915114,8.036253945160272,5702,-0.723841638658409,Ernest Gilbert Broglio
brosj101,1.9350881444167543,1.3072710591731662,1.7678465775742445,3513,0.627817085243588,James Patrick Brosnan
browb103,-0.8629499304750912,-1.3625652123841017,-1.5093405921169856,3102,0.4996152819090105,Carroll William Brown
browc103,0.40558231912245596,1.9803219582048472,1.7496166394853316,6495,-1.5747396390823913,Clinton Harold Brown
browh101,-5.39303810548832,-2.0907297516435763,-5.0956541574515235,6991,-3.3023083538447437,Hector Harold Brown
browj109,-0.4711416711043254,-0.7004169869427966,0.3072378198054045,3865,0.22927531583847122,Jackie Gene Brown
browk001,-1.7885747766192992,-2.1914154948776656,-3.2897427280505234,13542,0.4028407182583664,James Kevin Brown
browl101,-0.8812470506692128,-0.457443659908433,0.5853966477476467,7368,-0.42380339076077983,Lloyd Andrew Brown
browm102,-1.6978941340266092,-0.8068573128010649,-1.1534514489558225,3575,-0.8910368212255443,Mordecai Peter Centennial Brown
browm103,1.9263405309246886,0.5231005404090174,2.9321440764094286,4622,1.4032399905156712,Mace Stanley Brown
browt001,2.4162250905354816,2.568942591106453,4.723081121657022,8066,-0.15271750057097133,Thomas Leo Browning
brucb101,-5.547254416887484,-2.6339551950106146,-7.709385481986239,4818,-2.9132992218768696,Robert James Bruce
brung101,-3.426943120625552,-2.387931466028856,-3.0975652014641537,6069,-1.0390116545966959,George Stuart Brunet
bryar101,-0.8506238936052091,1.3686847722207016,2.0900034386034827,3988,-2.2193086658259107,Ronald Raymond Bryant
buchc001,3.3432093736588593,3.5140745575299075,4.287334680875142,5607,-0.1708651838710482,Clay Daniel Buchholz
buehm001,-0.8713811539546988,2.0623883567572707,1.6379062667033029,13705,-2.9337695107119695,Mark Alan Buehrle
buehw001,0.17616497102359274,-1.474007632154622,1.8739522129826358,3443,1.650172603178215,Walker Anthony Buehler
buhlb101,-4.179525222916017,-2.648570261860596,-2.7484451289904817,11051,-1.530954961055421,Robert Ray Buhl
