park_id,season,effect,n_pa,component,n_components
STL07,1931,0.016943116952445516,11882,1,2
BOS07,1932,-0.005639790414918971,5070,0,2
CHI10,1932,-0.02204790640053491,5551,0,2
CLE06,1932,0.022475061379317166,3702,0,2
CLE07,1932,-0.029892081532011255,2333,0,2
DET04,1932,-0.0066724987968883025,5832,0,2
NYC16,1932,-0.00522834664511268,5794,0,2
PHI11,1932,0.026577852001356518,6025,0,2
STL07,1932,0.004494385691919181,11619,0,2
WAS09,1932,-0.0009649446838799641,5832,0,2
BOS08,1932,-0.017280481653665886,6165,1,2
CHI11,1932,-0.0060494320131509296,5865,1,2
CIN07,1932,-0.02496898115042797,5900,1,2
NYC14,1932,0.005896137865564593,5883,1,2
NYC15,1932,0.004499739768459235,5764,1,2
PHI09,1932,0.036830801004572054,6141,1,2
PIT06,1932,0.00042991993234412504,5884,1,2
BOS07,1933,0.0032396396012165677,5690,0,2
CHI10,1933,0.003364599077767581,6229,0,2
CLE07,1933,-0.005123772761389982,5820,0,2
DET04,1933,-0.0038075922210451885,6142,0,2
NYC16,1933,-0.0020401320354292637,5703,0,2
PHI11,1933,0.016994587555993847,5926,0,2
WAS09,1933,-0.012779776014969223,5889,0,2
BOS08,1933,-0.024846036208596732,5624,1,2
CHI11,1933,-0.007342790690245201,5766,1,2
CIN07,1933,-0.020812987754403506,5667,1,2
NYC14,1933,-0.018141487591809658,5545,1,2
NYC15,1933,-0.003152058984153561,5771,1,2
PHI09,1933,0.03220084701016639,5499,1,2
PIT06,1933,-0.0025091144113201834,5702,1,2
STL07,1933,0.021420516533078214,11953,1,2
BOS07,1934,-0.0006725044809750003,5853,0,2
CHI10,1934,0.00030551406573171846,5580,0,2
CLE06,1934,0.006711065408119218,5873,0,2
DET04,1934,-0.00315604133569428,6134,0,2
NYC16,1934,-0.020352423598852372,5724,0,2
PHI11,1934,-0.005798264521545813,5547,0,2
STL07,1934,0.013566389185936351,11815,0,2
WAS09,1934,-0.0051486313984902415,5720,0,2
BOS08,1934,-0.025542884521285086,5593,1,2
CHI11,1934,-0.010796887350950496,5644,1,2
CIN07,1934,-0.002373982971169826,6010,1,2
NYC14,1934,-0.015201318845242454,5554,1,2
NYC15,1934,0.008783209212277772,5887,1,2
PHI09,1934,0.0272016421917681,5506,1,2
PIT06,1934,0.01681633982336689,6007,1,2
BOS07,1935,0.008229154526946645,6244,0,2
CHI10,1935,0.0061252520877232075,6021,0,2
CLE06,1935,0.008328324912847546,5844,0,2
DET04,1935,-0.01234496594716325,6167,0,2
NYC16,1935,-0.016509581267550706,5502,0,2
PHI11,1935,0.004541904886220451,5549,0,2
WAS09,1935,0.0008191243750152761,5897,0,2
BOS08,1935,0.00332507889672141,5641,1,2
CHI11,1935,-0.007983651548854175,5520,1,2
CIN07,1935,-0.016136533066107767,5577,1,2
NYC14,1935,-0.009156147204759406,5831,1,2
NYC15,1935,-0.0033724040182629205,5702,1,2
PHI09,1935,0.026797887778442168,5793,1,2
PIT06,1935,0.008712981592753587,5782,1,2
STL07,1935,-0.0014942361290243146,11841,1,2
BOS08,1936,-0.0187872925835623,5938,0,2
