season,date,gamenum,runs,druns,out,station
1970,19700606,0,8,0.3572308750149098,-1.7469862660913318,midway
1970,19700607,0,12,7.040744981634111,3.758061116406463,midway
1970,19700619,0,8,-11.999987600799257,-3.165745463796536,midway
1970,19700620,0,11,-1.5348192680723265,-0.563297367803999,midway
1970,19700621,1,3,-3.0553906996916496,-3.969127778002157,midway
1970,19700621,2,5,-1.6986898234889038,-3.969127778002157,midway
1970,19700622,0,14,2.2773562111508965,3.151189662112789,midway
1970,19700623,0,22,2.3165989286271884,6.460452329702022,midway
1970,19700624,1,14,3.9709241808299085,5.229026655301808,midway
1970,19700624,2,7,-9.532877587885054,5.229026655301808,midway
1970,19700625,0,11,-2.7943733608990646,-3.7083795569614173,midway
1970,19700703,0,30,20.555515583232108,6.993910316263603,midway
1970,19700704,1,16,13.082313232080391,0.5004764459873013,midway
1970,19700704,2,9,5.177113579844058,0.5004764459873013,midway
1970,19700705,0,7,-1.4123858635863658,-4.375309395206168,midway
1970,19700706,1,5,-4.802589343545659,4.648404375419409,midway
1970,19700706,2,16,1.129570715729521,4.648404375419409,midway
1970,19700707,0,17,5.708496096157884,5.538916891355222,midway
1970,19700708,1,6,-3.8287344037164504,-0.7749633638746447,midway
1970,19700708,2,9,-3.731526769091831,-0.7749633638746447,midway
1970,19700710,0,2,-7.87357743902643,-3.256394213676048,midway
1970,19700711,0,14,1.80207527685545,-4.023753395714938,midway
1970,19700712,0,12,2.749227466914963,-3.176939639501916,midway
1970,19700722,0,12,-3.1112924213860067,-4.896032617200802,midway
1970,19700723,0,1,-8.227805530577218,-4.305050564068481,midway
1970,19700724,0,12,4.393917944239067,3.210492625952683,midway
1970,19700725,0,9,-2.6325379853669366,4.222748690392215,midway
1970,19700726,1,11,2.8175071364005806,4.626066232809867,midway
1970,19700726,2,13,4.4733530277548095,4.626066232809867,midway
1970,19700728,0,14,1.8294611553602487,5.3036156846346065,midway
1970,19700729,0,11,3.789076028461966,5.121756710551052,midway
1970,19700730,0,9,0.4572276079219737,5.528084693311724,midway
1970,19700811,0,5,-6.941921474761585,-5.221748353377448,midway
1970,19700812,0,9,0.28162125843340524,-3.7082570433379005,midway
1970,19700813,0,9,1.6208369480115683,3.6468878812322414,midway
1970,19700814,0,22,13.59801211001464,5.392506180691504,midway
1970,19700815,1,16,1.3475302759100911,7.774278069357834,midway
1970,19700815,2,15,10.043768006755059,7.774278069357834,midway
1970,19700816,0,7,-0.6799833116916942,3.433533546708315,midway
1970,19700817,0,7,-0.26875130983786877,-3.1338042360876672,midway
1970,19700818,0,14,3.2653467364613267,1.4036122381338807,midway
1970,19700819,0,14,7.492388933022733,5.463920538973366,midway
1970,19700901,0,5,-7.657668878048902,-2.45353380816847,midway
1970,19700902,0,19,10.326517668654013,5.258748069740349,midway
1970,19700903,0,9,-2.2031867898617703,5.563362718343802,midway
1970,19700904,0,11,2.75793968772826,2.6220911555579263,midway
1970,19700905,0,8,-3.3668637324331225,2.683212523379208,midway
1970,19700909,0,5,-1.2745574606764685,5.151938582700683,midway
1970,19700910,0,12,2.589162873253719,3.258708997759585,midway
1970,19700912,0,9,1.0718728427269435,3.5215588958202746,midway
1970,19700913,0,5,-4.2915111628792255,-7.570367205205349,midway
1970,19700915,0,8,2.2784294792911584,6.798747893314679,midway
1970,19700916,0,9,-0.7755986707952289,-4.06462795111424,midway
1970,19700917,0,11,1.6447677625370054,2.3837513661175147,midway
1971,19710406,0,3,-4.427993383411351,-7.307851316304519,midway
1971,19710407,0,17,4.368088314669976,0.1720870116573349,midway
1971,19710420,0,4,-2.574598721953567,-4.0360241702396875,midway
1971,19710422,0,7,-2.7348815158854882,-7.434823401676188,midway
1971,19710423,0,13,6.653694702785993,4.711533892312586,midway
1971,19710424,0,12,1.6411994382852653,2.4952609964598986,midway
