candidate,gain,mean_pre,mean_post,series,case
1948,42.85629248265718,-0.023932708983915803,-0.001150969238790079,raw,Cleveland 1947 (screen said 1952)
1949,39.46384555271506,-0.02168551618024204,-0.001036778859472799,raw,Cleveland 1947 (screen said 1952)
1950,45.35049427335979,-0.021679447371047853,-0.0005770564724517159,raw,Cleveland 1947 (screen said 1952)
1951,45.757066441535194,-0.020656119781642567,-0.000324875147377713,raw,Cleveland 1947 (screen said 1952)
1952,47.2991248027894,-0.01998451909151452,-3.173019895170535e-05,raw,Cleveland 1947 (screen said 1952)
1953,46.069270844945486,-0.018943553846438133,0.00014101895450539285,raw,Cleveland 1947 (screen said 1952)
1954,45.18264116371758,-0.01807263205430328,0.00031929445197145264,raw,Cleveland 1947 (screen said 1952)
1955,39.94134466939647,-0.016610123259938284,0.0002636089912112307,raw,Cleveland 1947 (screen said 1952)
1956,40.4738050973481,-0.016103534322055642,0.0005091513107197588,raw,Cleveland 1947 (screen said 1952)
1957,42.76662127765557,-0.015906254700898563,0.0008524952716421597,raw,Cleveland 1947 (screen said 1952)
1958,37.44979057810359,-0.014679129604828383,0.0007401004277006014,raw,Cleveland 1947 (screen said 1952)
1944,16.448589502214965,-0.019984519091514497,-0.002685111687038555,shrunk,Cleveland 1947 (screen said 1952)
1945,18.778228795641713,-0.0199845190915145,-0.0024843131428515584,shrunk,Cleveland 1947 (screen said 1952)
1946,21.003739604300947,-0.019984519091514497,-0.0022924897426745004,shrunk,Cleveland 1947 (screen said 1952)
1947,23.183660016966112,-0.019984519091514497,-0.0021045959144145817,shrunk,Cleveland 1947 (screen said 1952)
1948,27.51088433364338,-0.019984519091514497,-0.001731619571849004,shrunk,Cleveland 1947 (screen said 1952)
1949,32.22569694209828,-0.019984519091514497,-0.001325235840872496,shrunk,Cleveland 1947 (screen said 1952)
1950,37.0582515402142,-0.019984519091514497,-0.0009087035773826836,shrunk,Cleveland 1947 (screen said 1952)
1951,42.15864618639473,-0.019984519091514497,-0.00046908538300301136,shrunk,Cleveland 1947 (screen said 1952)
1952,47.344986953892985,-0.0199845190915145,-2.205923663360008e-05,shrunk,Cleveland 1947 (screen said 1952)
1953,42.81026757446018,-0.018401584533318898,-4.426255256998924e-06,shrunk,Cleveland 1947 (screen said 1952)
1954,39.01476543199894,-0.01707700555360685,1.3539591933852959e-05,shrunk,Cleveland 1947 (screen said 1952)
1955,35.280427991832994,-0.01585050027661535,8.168740156146265e-06,shrunk,Cleveland 1947 (screen said 1952)
1956,32.45165958210977,-0.01484172984415893,3.376030341824708e-05,shrunk,Cleveland 1947 (screen said 1952)
1957,30.206030504651622,-0.014016157390783447,6.816571678369437e-05,shrunk,Cleveland 1947 (screen said 1952)
1958,27.54367348706772,-0.013166501606084565,5.707457473269324e-05,shrunk,Cleveland 1947 (screen said 1952)
1964,0.16005731166205805,-0.0045195628173448485,-0.0037088760685335554,raw,Comiskey Sox Sod (screen found nothing)
1965,0.9093230103290253,-0.004882629895336895,-0.002931540233512569,raw,Comiskey Sox Sod (screen found nothing)
1966,1.9901584251474276,-0.005161353505714374,-0.0022440610779870802,raw,Comiskey Sox Sod (screen found nothing)
1967,5.2272400698040045,-0.005687542467090829,-0.000905482929529432,raw,Comiskey Sox Sod (screen found nothing)
1968,9.54130692236983,-0.006134390301132476,0.0004095582854155631,raw,Comiskey Sox Sod (screen found nothing)
1969,9.585385958466233,-0.006086883632887849,0.0005515221000805018,raw,Comiskey Sox Sod (screen found nothing)
1970,6.408735030546268,-0.0057100641453825315,-0.00021385426765771384,raw,Comiskey Sox Sod (screen found nothing)
1971,3.173470802863509,-0.0052393409864301185,-0.0013049198831298773,raw,Comiskey Sox Sod (screen found nothing)
1972,2.8384151089885563,-0.005153007859072039,-0.0013656941685431688,raw,Comiskey Sox Sod (screen found nothing)
1973,1.3659086400381337,-0.0048534258275028,-0.0021784425996491177,raw,Comiskey Sox Sod (screen found nothing)
1974,0.7636866658647516,-0.004682408343076153,-0.0026390608483117775,raw,Comiskey Sox Sod (screen found nothing)
1975,0.19658010757160227,-0.004457658096085668,-0.0033971181477930137,raw,Comiskey Sox Sod (screen found nothing)
1976,0.00013383822113510746,-0.004248831869250128,-0.004220438629825279,raw,Comiskey Sox Sod (screen found nothing)
1977,0.09523871444366172,-0.004106748438601453,-0.004885812617071805,raw,Comiskey Sox Sod (screen found nothing)
1978,0.29242203542491474,-0.004015000324687406,-0.00542372466666306,raw,Comiskey Sox Sod (screen found nothing)
1979,0.6833812766101559,-0.003910786224052476,-0.006137677381539288,raw,Comiskey Sox Sod (screen found nothing)
1980,0.8430047350567493,-0.003892009754075747,-0.0064552912572065635,raw,Comiskey Sox Sod (screen found nothing)
1964,0.009959389472447455,-0.004298567927575199,-0.004096344404018045,shrunk,Comiskey Sox Sod (screen found nothing)
1965,0.07280692775398201,-0.004410554821723967,-0.00385847167474932,shrunk,Comiskey Sox Sod (screen found nothing)
